,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
1,0.5165778459633683,0.9017032532111864,0.7248447472830775,0.8371052770019219,0.9257247879497468,0.6586880044336946
2,0.6324645787684263,,0.7605909207134529,0.8510005480946979,0.9791383596553364,0.884605145483663
3,0.7526923316902726,,0.8124174952316985,0.8648301824005324,0.973267323401564,0.9454996898615938
5,0.8076817674096531,,0.8669662530264493,0.91291613294722,0.9700759563824284,0.9930537561003062
10,0.8440229233266903,,0.8824631412432696,0.9498034566668746,0.9652517137135008,0.996262373421322
20,0.8264013729282815,,0.8696659558563551,0.9417849719284982,0.9556688345769456,0.997329047673228
30,0.8199985441234583,,0.8520301219633046,0.9300229881682504,0.956726975434836,0.9337548340606598
40,0.8210851907993497,,0.8258752081352914,0.9193361508826404,0.964737018536122,0.9978638070315168
50,0.8200070775174737,,0.8210766268196927,0.8963813209816278,0.9695441638313778,0.9967971327796108
N. Clases - 1,0.5165778459633683,0.9017032532111864,0.7248447472830775,0.8371052770019219,0.9257247879497468,0.6586880044336946
Dim. máxima,0.8184056744929207,,0.8184056744929207,0.8857002949679279,0.9609908585634291,0.9978638070315168
