,Euclidean,LDA,LLDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML,GMML
letter,0.7174012513737915,0.795516499371835,0.8112223490006448,0.7161182090812286,0.816352801757486,0.8565087291180931,0.7048578477530889,0.5396355664634892,0.3191370079991914,0.7600909622599643,0.6216999864306845,0.7444995070830221
magic,0.8070300645649671,0.7436206791526431,0.8126351206245754,0.8069118779450168,0.8161981020822797,0.8396683646762343,0.7979803493067534,0.7946574888117637,0.7508607725641776,0.7738074818102529,0.7077168737335743,0.8132196074230451
monk-2,0.95782129428977,0.9451885413502568,0.9541998264458712,0.9223600983156278,0.9709365025649179,1.0,0.9812226256415691,1.0,0.9878991626047254,0.9665636656208568,0.9382039593989344,0.9642387843871956
movement_libras,0.797237797006064,0.8685899288771004,0.8569353218881993,0.8038656663093962,0.8460657307236751,0.8516187103480595,0.8065926606441076,0.7351641932127573,0.7970400646894715,0.8063901284557676,0.7256027718939351,0.7917476157037086
newthyroid,0.942118476577106,0.9596923241279848,0.9410955611345548,0.94520057689226,0.9436648683296832,0.970038993643502,0.9658965867207948,0.9591928849954596,0.960218471235511,0.9565888574328294,0.9509134127450456,0.9570936381603546
optdigits,0.9756490795649312,0.9671693853465612,0.9821502453822532,0.973189119844936,0.9770334744893182,0.9956618604407944,0.9986188216388868,0.9398617286048688,0.8164023137704464,0.9761410405375978,0.9596768273268296,0.975647248324508
page-blocks,0.949597745421214,0.9697985446140042,0.9519444816860724,0.9614331550919096,0.9515373579592432,0.9637762445846254,0.9459265580421604,,0.9515335044239018,0.9613321544496028,0.94388354757167,0.95684078339279
phoneme,0.7957654794648034,0.7321454343103964,0.7951500965823388,0.7853869991151131,0.796073276641553,0.8044019613030933,0.7928880951386561,0.76421281474869,0.7361461592869485,0.7654466451066952,0.7320366394106991,0.7981291978248828
pima,0.7372715257271442,0.7259847920831835,0.7349572957011284,0.7148444492776658,0.7366932819152942,0.7841444082882308,0.7290215654618002,0.7206296060831667,0.7174466509958759,0.7173017240658174,0.7285924311753929,0.7309008055678711
ring,0.6410661141774705,0.7289016709761875,0.6340850318829835,0.7290512574147016,0.6440699634249571,0.9267264226981944,0.6750758671995178,0.8331085037471861,0.7308587523993648,0.8315332783521111,0.5634384367881792,0.6864859302221741
satimage,0.8585486373790697,0.8541552782573033,0.8631994353149969,0.8495796721877878,0.8669997656358983,0.8764676019434491,0.8565687020263191,0.8490686899566559,0.8153570659219349,0.8246691313584288,0.5427129204816094,0.8633760198298879
segment,0.8970581113801452,0.9353066989507668,0.9045036319612592,0.9357142857142856,0.907130750605327,0.9451170298627928,0.9076230831315576,0.8898789346246974,0.9095480225988699,0.936731234866828,0.8818805488297012,0.9035593220338984
sonar,0.8317405248740789,0.9011685550241808,0.9145547586976388,0.8435082281493118,0.909724796513726,0.9823556938842176,0.9941233359881672,0.8530995489229574,0.8547039799260316,0.8755513061904114,0.8766292971297209,0.8301219327189291
spambase,0.8500084064369208,0.9215014981496678,0.8444435100827213,0.8801952886466031,0.8635320944796133,0.9391308730729496,0.921501478419556,0.9210189602146523,0.907731008957048,0.9176303304244101,0.9229513189086486,0.8734424944047519
texture,0.956060606060606,0.9983838383838384,,0.98010101010101,0.9864646464646464,0.9843434343434344,0.918080808080808,0.9333333333333332,0.8979797979797979,0.9740404040404042,0.8658585858585857,0.9557575757575756
thyroid,0.9313286953197216,0.9375042249089508,0.9307106366001741,0.9397415225567032,0.9355725271696552,0.945990992374214,0.9320231408675635,0.9357283379278069,0.945837386663976,0.9377340362144468,0.9587951796580464,0.9386606190296728
titanic,0.7607268578824895,0.7727887830195772,0.6290119135099184,0.7682880520299757,0.7612033933252007,0.5709486154629249,0.6018354059520284,,0.7107762882050448,0.715032296447341,0.7108291746331767,0.7198895102030418
twonorm,0.9609876005037294,0.9778680030367952,0.9615872436577612,0.9685649452903768,0.9612874502409386,0.981769090921379,0.9778682283183407,0.9776425525300244,0.9782431531306248,0.9708119597466934,0.9789183219228232,0.9715656391575372
vehicle,0.7077737518167333,0.769893403640285,0.7434895445962003,0.7625313880827829,0.7643807249336959,0.8186149431673764,0.685582288909565,0.6590454623202741,0.6506394209489357,0.7398192862235835,0.7186627246838714,0.7206453613511034
vowel,0.9699214365881034,0.968013468013468,0.9721661054994388,0.9423120089786756,0.9751964085297418,0.9799102132435468,0.9693602693602694,0.9436588103254768,0.6719416386083052,0.8558922558922557,0.8885521885521885,0.9717171717171718
wdbc,0.967973647285308,0.9732451886053128,0.9687545195394308,0.971490813071253,0.9669982254735487,0.9751994572737972,0.9638732210031836,0.9705130949817942,0.9546939037984516,0.9714904219142796,0.9476633899186228,0.9681697182573062
wine,0.9606825534272896,0.9968826672193504,0.9750423157443938,0.9900153832687332,0.9812769813056932,0.9956287852317728,0.9956287852317728,0.983757423973448,0.9975037852317729,0.9975193140863432,0.9956326672193504,0.9831480504880832
winequality-red,0.5808483607546748,0.5657706030621374,0.577235757108486,0.5754301469295025,0.5828634114745649,0.602247411884562,0.5647254146976257,0.5656980745992063,0.5281775241750177,0.5675760167108803,0.5376977478383154,0.5736201497424375
wisconsin,0.9694160512959672,0.9663260890350348,0.9715296084704996,0.9609538804724312,0.9695789168856619,0.972345525359945,0.9692534479503176,0.968440175856558,0.9673009000215644,0.9585185567325872,0.965025534831684,0.9674632402633516
AVG SCORE,0.8383637799745799,0.8515567803108315,0.8431924336375212,0.8500270755431433,0.8560108473608945,0.8886089740522466,0.8490482169026341,0.8410448134636307,0.8059201066398609,0.8438954102154487,0.8125641214545795,0.8451159835148216
AVG RANKING,7.9411764705882355,6.0588235294117645,6.823529411764706,6.75,5.544117647058823,1.7941176470588236,6.3088235294117645,7.5588235294117645,7.779411764705882,6.647058823529412,8.088235294117647,6.705882352941177
