,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
1,0.19385834330506688,0.3339599949889339,0.2414434366313732,0.2720157637387929,0.33609547552889385,0.2547019999964995
2,0.2813765104196416,0.5362687796982064,0.4597873176828715,0.4720102582858986,0.6638611320305522,0.5416303932358928
3,0.5232184564028449,0.6143571971756915,0.6435812099100713,0.6684238693142118,0.7195455913417994,0.6900111709015135
5,0.687377034885628,0.7211151110042339,0.7473033040557157,0.791866758120223,0.8188649935273729,0.8156814913905501
10,0.7831393657161482,0.8661768237552693,0.8053190146759279,0.8857973842938918,0.8383691619759919,0.8485626352063873
20,0.7978623707174544,,0.7972130200681037,0.8705134822797534,0.8442894773851644,0.8490000000048483
30,0.7981822165711732,,0.7978582876265546,0.8652750798498664,0.8438963694890071,0.8514099999975273
40,0.797237797006064,,0.7975552573235243,0.8594100253641223,0.8469078522221887,0.8526340000001259
50,0.797237797006064,,0.797237797006064,0.8538029111862131,0.8431697905031978,0.8498059999958013
N. Clases - 1,0.7932919344395117,0.8685899288771004,0.8061646048817576,0.8901144465419885,0.8398686099107431,0.8438870000036023
Dim. máxima,0.797237797006064,,0.797237797006064,0.8460657307236751,0.8516187103480595,0.8490899999952001
